listing_id,city,neighborhood,room_type,property_type,bedrooms,bathrooms,accommodates,review_score,number_of_reviews,host_response_rate,availability_365,cancellation_policy,amenities_count,latitude,longitude,price
32,San Francisco,Old Town,Shared room,Cottage,4,1,2,4.46,98,90,185,Strict,8,-45.503079,-102.131661,485.44
33,Miami,Beachside,Shared room,Townhouse,5,3,4,4.72,441,67,127,Flexible,5,89.295971,110.589109,622.53
34,San Francisco,Beachside,Shared room,Loft,1,2,1,3.5,358,60,209,Strict,3,-71.391959,92.664791,368.78
35,Seattle,Midtown,Shared room,Apartment,1,3,9,4.66,441,97,280,Moderate,4,-57.480714,-51.502573,466.0
36,Miami,Old Town,Hotel room,Townhouse,4,1,7,3.17,494,51,252,Flexible,6,-66.595274,176.227185,536.66
37,Denver,Suburb,Hotel room,Apartment,3,3,7,3.84,434,61,18,Moderate,6,-31.022107,-85.473946,370.81
38,Seattle,Old Town,Hotel room,Apartment,5,3,3,4.65,467,55,199,Flexible,8,-52.16835,-88.270824,474.57
39,Los Angeles,City Center,Private room,House,2,2,3,3.31,1,92,219,Strict,7,-0.416167,98.013299,359.08
40,Chicago,Downtown,Private room,Townhouse,4,2,1,4.89,242,89,135,Moderate,5,-4.316273,-23.523366,351.48
41,Denver,Downtown,Private room,House,2,2,3,2.8,296,93,222,Flexible,10,72.271012,-60.913802,260.13
42,Los Angeles,City Center,Private room,Condo,4,1,3,2.55,210,78,2,Strict,8,-83.746809,-115.68139,404.74
43,Atlanta,Old Town,Shared room,Apartment,3,1,4,4.76,122,79,235,Moderate,8,-32.421676,95.519675,298.91
44,Denver,City Center,Shared room,Loft,3,2,4,2.67,228,51,341,Flexible,2,17.398421,103.07585,280.38
45,Atlanta,Uptown,Shared room,Cottage,3,2,3,4.98,81,58,227,Moderate,3,18.864317,23.963041,325.88
46,Miami,Harbor Area,Entire home/apt,Loft,3,1,8,4.88,143,96,141,Flexible,3,-3.577279,164.632901,578.59
47,Los Angeles,City Center,Hotel room,Cottage,1,1,8,2.84,387,51,8,Strict,3,56.819797,-65.461223,339.28
48,Chicago,Beachside,Private room,Apartment,1,1,1,3.84,139,78,189,Strict,6,-78.710009,-100.937144,236.92
49,Seattle,City Center,Private room,Apartment,5,1,7,2.96,28,82,349,Moderate,2,56.787798,63.888037,469.87
50,Boston,Downtown,Shared room,Apartment,2,2,2,3.57,390,59,164,Moderate,7,-0.944237,93.027111,354.8
51,San Francisco,Beachside,Private room,House,4,1,1,2.65,269,83,138,Flexible,4,-65.923075,-99.033851,327.39
52,New York,Downtown,Private room,Townhouse,4,2,3,3.06,246,93,275,Strict,6,69.426344,-152.420125,495.82
53,Chicago,Midtown,Hotel room,Cottage,1,3,4,3.41,11,57,290,Flexible,5,26.86118,111.785935,307.33
54,Los Angeles,Suburb,Shared room,Townhouse,4,3,6,3.6,354,86,52,Strict,10,-60.561776,171.540711,520.77
55,Boston,Downtown,Hotel room,House,1,1,5,4.94,388,82,174,Moderate,3,-83.94305,52.082023,356.57
56,Chicago,Beachside,Entire home/apt,House,5,3,4,4.52,336,96,109,Flexible,6,-64.600263,-79.967916,442.84
57,Los Angeles,Midtown,Entire home/apt,Villa,2,3,8,4.34,105,55,202,Flexible,3,19.583633,178.802139,521.39
58,Austin,Downtown,Entire home/apt,Loft,5,3,4,3.84,31,93,135,Strict,7,-57.726678,141.575989,423.76
59,Austin,Uptown,Shared room,Loft,3,1,2,4.6,73,89,3,Strict,10,-49.362647,4.817033,331.08
60,Atlanta,City Center,Private room,Condo,3,1,3,3.35,170,94,154,Strict,7,-85.474849,117.115663,269.9
61,Chicago,Suburb,Shared room,House,3,3,6,4.27,336,68,171,Moderate,2,40.127521,113.695388,383.77
62,Austin,Downtown,Shared room,Cottage,5,2,8,4.98,68,81,357,Flexible,2,55.865592,156.527629,515.8
63,Los Angeles,Midtown,Private room,Villa,4,3,8,3.29,300,76,46,Strict,10,53.432672,122.732584,486.65
64,Atlanta,Uptown,Hotel room,Villa,2,1,9,4.19,361,50,93,Moderate,4,-67.037733,51.724525,353.26
65,Los Angeles,Old Town,Entire home/apt,Townhouse,3,1,7,4.61,136,92,47,Strict,8,72.594203,39.349339,495.78
66,Atlanta,Midtown,Hotel room,Loft,3,1,2,4.79,432,82,239,Flexible,2,31.010189,-11.751376,272.63
67,Chicago,City Center,Entire home/apt,House,3,3,8,4.29,416,89,346,Strict,4,71.555152,45.53483,418.99
68,Boston,Midtown,Shared room,Condo,2,2,7,3.21,483,81,212,Flexible,3,-9.511109,106.277971,374.05
69,Seattle,Uptown,Entire home/apt,House,3,1,8,3.32,99,54,339,Moderate,10,-11.348125,168.853545,406.8
70,Denver,Midtown,Shared room,Townhouse,2,1,3,2.55,145,66,323,Moderate,10,51.216573,-11.776551,238.38
71,Boston,Uptown,Hotel room,Apartment,3,3,7,4.4,8,57,138,Strict,10,-73.206386,26.515153,487.21
72,Miami,Downtown,Shared room,House,5,2,9,2.61,61,91,204,Flexible,6,3.757327,-19.870022,554.98
73,Los Angeles,Harbor Area,Hotel room,Townhouse,5,3,3,4.66,184,83,72,Flexible,9,60.549162,60.655904,515.92
74,Miami,Uptown,Private room,Apartment,2,1,6,2.8,28,58,3,Flexible,6,59.434661,46.771381,422.28
75,Boston,Uptown,Private room,Apartment,5,2,2,2.93,380,72,75,Strict,10,82.103914,-173.579836,396.35
76,Atlanta,Suburb,Private room,Condo,2,2,2,3.69,113,84,328,Flexible,8,35.689067,14.818161,259.81
77,Denver,Uptown,Shared room,Cottage,5,1,5,4.34,461,99,76,Flexible,3,-52.601287,-148.144718,409.54
78,Denver,Uptown,Private room,Loft,5,2,5,2.85,408,56,303,Flexible,5,-86.349543,-170.501898,335.17
79,New York,Old Town,Entire home/apt,House,2,2,7,3.6,142,64,255,Flexible,6,-3.705156,104.830978,458.33
80,Denver,Harbor Area,Hotel room,Apartment,4,3,2,3.71,389,69,101,Strict,6,2.466696,-86.88605,351.72
81,Seattle,Downtown,Hotel room,House,5,1,7,3.03,119,99,105,Strict,7,-46.752735,-57.364172,397.54
82,Denver,City Center,Entire home/apt,Cottage,3,1,5,2.79,169,74,332,Flexible,4,-67.55446,-156.929548,288.91
83,Boston,Suburb,Shared room,Loft,4,1,6,4.59,156,52,38,Flexible,2,15.51747,-115.379906,437.51
84,New York,Old Town,Shared room,Cottage,2,1,8,3.76,334,95,313,Moderate,5,47.566021,95.617735,527.31
85,Boston,Beachside,Hotel room,Loft,4,1,4,2.54,348,73,274,Moderate,3,88.767739,-2.328901,369.21
86,Boston,Harbor Area,Private room,Villa,1,2,7,4.51,259,83,87,Flexible,10,46.494471,137.040647,430.78
87,San Francisco,Downtown,Shared room,Loft,1,3,6,4.95,81,95,210,Flexible,4,52.853835,-36.992833,520.15
88,New York,Downtown,Shared room,Condo,5,1,2,4.01,241,71,76,Moderate,3,20.962958,-83.267735,433.25
89,Boston,Beachside,Entire home/apt,Cottage,5,3,8,3.76,440,60,76,Moderate,8,87.466079,-54.864067,608.51
90,San Francisco,City Center,Entire home/apt,Apartment,3,3,9,4.7,432,97,27,Flexible,9,25.192149,76.597846,662.68
91,San Francisco,Uptown,Private room,Villa,4,2,5,4.88,171,57,244,Strict,2,64.845592,19.802042,725.56
92,New York,Old Town,Shared room,Condo,1,1,4,4.39,230,88,65,Strict,5,80.241236,145.508835,373.22
93,Miami,Midtown,Shared room,House,5,2,6,3.61,207,92,265,Flexible,6,77.37453,36.780757,521.08
94,Atlanta,Suburb,Entire home/apt,Cottage,4,1,8,3.98,74,84,204,Flexible,7,-21.345238,-2.513445,324.45
95,Seattle,Midtown,Shared room,Townhouse,5,2,3,4.25,269,98,57,Moderate,8,-75.84083,102.870981,453.79
96,Atlanta,Beachside,Hotel room,Townhouse,5,3,1,2.99,386,95,200,Moderate,7,-59.062734,161.112186,330.83
97,Denver,Downtown,Entire home/apt,Apartment,1,1,4,3.62,498,87,224,Strict,5,-79.339805,-51.895472,269.28
98,Seattle,City Center,Private room,Loft,1,3,4,4.57,113,57,141,Flexible,10,-71.028552,-90.044564,337.29
99,Denver,Downtown,Entire home/apt,Apartment,5,3,1,4.14,61,86,83,Moderate,10,-56.762776,41.838263,385.42
100,Boston,Suburb,Shared room,Townhouse,2,2,9,3.53,361,76,142,Strict,2,-28.603023,-0.405784,479.21
101,Los Angeles,Downtown,Private room,House,5,1,3,4.16,319,77,351,Strict,6,7.837136,176.106807,474.12
102,New York,Downtown,Entire home/apt,Villa,5,3,5,2.8,101,89,32,Strict,9,38.102771,-13.549758,522.39
103,Seattle,Suburb,Hotel room,Villa,3,2,6,3.5,428,83,151,Moderate,3,-52.03308,-153.240642,395.4
104,Seattle,Old Town,Hotel room,Cottage,3,1,8,4.48,361,81,157,Moderate,6,31.054033,171.852862,461.76
105,Boston,Old Town,Entire home/apt,Villa,3,1,6,3.05,209,64,140,Flexible,2,36.766633,123.6913,378.54
106,Miami,Suburb,Hotel room,Cottage,2,3,3,2.96,441,93,250,Flexible,9,10.552021,-115.829948,432.74
107,San Francisco,City Center,Hotel room,Cottage,2,1,6,4.88,254,66,302,Strict,4,72.651217,145.657891,497.19
108,Boston,Beachside,Hotel room,Cottage,5,3,1,3.02,19,82,111,Strict,4,-70.020933,-57.359945,367.62
109,Austin,Harbor Area,Private room,Townhouse,3,1,4,3.15,57,96,143,Moderate,9,-58.118138,-44.239686,290.25
110,San Francisco,Downtown,Hotel room,Townhouse,2,2,6,4.92,111,95,208,Moderate,4,-12.840332,146.300934,508.71
111,New York,City Center,Hotel room,Loft,1,3,7,4.34,472,65,223,Flexible,2,-67.191708,10.841603,494.52
112,San Francisco,Downtown,Hotel room,Condo,5,3,3,4.25,312,78,42,Flexible,3,11.933306,-130.405345,614.41
113,Miami,Harbor Area,Private room,Cottage,4,1,9,4.63,485,58,263,Flexible,7,-18.287916,-47.139783,573.96
114,San Francisco,Beachside,Entire home/apt,Cottage,5,1,7,2.79,460,82,243,Moderate,2,-38.772757,79.955081,574.12
115,New York,Old Town,Shared room,Condo,4,3,1,4.26,195,98,2,Strict,2,-59.401834,-117.293692,497.26
116,Miami,City Center,Hotel room,Apartment,3,1,2,3.76,374,78,124,Flexible,2,-29.639117,32.483231,378.19
117,Atlanta,Uptown,Entire home/apt,Cottage,4,2,1,4.57,461,62,267,Flexible,8,19.432683,70.298688,336.04
118,Seattle,Uptown,Hotel room,Loft,3,1,9,3.77,352,70,83,Moderate,5,13.641338,-56.212713,480.54
119,Seattle,Harbor Area,Private room,Villa,1,2,9,4.05,91,70,15,Flexible,5,-60.54768,69.797048,429.62
120,Denver,Uptown,Entire home/apt,Villa,4,2,7,3.69,51,54,333,Strict,4,-67.514434,138.314647,391.18
121,Atlanta,Old Town,Private room,House,5,2,3,3.7,292,59,58,Moderate,2,-85.198183,-10.037972,274.86
122,Atlanta,Harbor Area,Hotel room,House,3,2,5,4.42,7,55,176,Flexible,6,-87.763393,-42.152642,296.5
123,San Francisco,Old Town,Hotel room,Villa,5,2,4,4.07,299,62,62,Flexible,2,68.365878,-89.582976,568.68
124,Seattle,Beachside,Private room,Villa,2,1,7,4.08,97,50,48,Moderate,3,-81.884006,37.513973,368.68
125,New York,Downtown,Shared room,Townhouse,3,2,9,3.63,235,69,306,Moderate,3,41.6198,136.746737,498.12
126,Chicago,Beachside,Private room,Loft,4,1,2,3.83,388,96,245,Flexible,3,66.957317,-63.121944,336.39
127,Chicago,Beachside,Hotel room,Condo,3,2,8,4.36,373,95,288,Strict,6,-72.349587,-37.355211,450.08
128,Miami,Old Town,Private room,House,5,3,9,4.56,68,57,285,Moderate,7,-11.465744,-33.614814,653.55
129,Seattle,Harbor Area,Shared room,Townhouse,1,2,9,4.24,414,59,331,Strict,7,83.214537,21.892443,442.3
130,Seattle,Harbor Area,Private room,Townhouse,3,3,7,4.81,44,58,14,Flexible,3,60.144959,-97.772774,495.3
131,Chicago,Uptown,Shared room,Condo,4,2,9,4.55,136,98,337,Strict,10,-1.853274,115.996016,448.13
132,Seattle,Midtown,Shared room,Townhouse,2,2,9,3.9,233,90,254,Flexible,10,47.2628,-73.58318,472.33
133,San Francisco,Downtown,Private room,Loft,1,2,3,4.18,31,52,91,Flexible,5,60.007972,73.930569,363.16
134,Austin,Old Town,Private room,Villa,2,3,4,4.82,288,60,278,Flexible,10,-27.355147,4.757667,341.92
135,Los Angeles,Uptown,Entire home/apt,Cottage,3,3,2,4.05,125,61,205,Flexible,10,70.587525,30.923137,373.61
136,Atlanta,City Center,Hotel room,Condo,5,2,3,4.56,66,59,93,Strict,5,-5.314802,-115.340854,359.67
137,Denver,Midtown,Shared room,Villa,5,1,5,4.22,29,74,224,Flexible,6,5.005325,84.608351,371.57
138,Miami,Midtown,Entire home/apt,Villa,4,2,5,3.88,113,98,300,Flexible,10,89.947375,-112.096613,517.36
139,Austin,Old Town,Private room,Apartment,5,3,6,3.1,203,98,317,Strict,2,61.794534,-139.14949,498.17
140,Chicago,Suburb,Hotel room,Condo,1,2,7,3.56,28,74,198,Moderate,3,-24.881399,16.80462,290.07
141,Atlanta,Downtown,Entire home/apt,Townhouse,5,3,7,4.92,130,60,270,Strict,7,-88.137793,75.346969,437.89
142,Seattle,Midtown,Shared room,Cottage,4,3,1,4.14,473,85,233,Strict,6,22.711333,-161.987099,403.61
143,Denver,Old Town,Entire home/apt,Condo,3,3,2,3.91,184,88,45,Strict,3,36.704417,-155.017687,300.7
144,Seattle,Old Town,Shared room,Townhouse,3,2,9,4.83,252,75,63,Flexible,6,27.144484,108.964499,509.81
145,New York,Uptown,Private room,Villa,5,3,2,3.97,285,63,229,Flexible,6,84.215223,111.251772,549.55
146,New York,City Center,Hotel room,Cottage,2,3,6,3.82,392,88,248,Flexible,2,65.334785,-91.690302,495.16
147,Denver,Suburb,Hotel room,Townhouse,3,2,1,4.4,409,89,245,Moderate,6,-9.210295,41.482153,313.33
148,Denver,Downtown,Hotel room,Loft,5,3,3,4.28,385,50,74,Flexible,3,-78.685652,-20.455173,382.45
149,Chicago,Harbor Area,Private room,Townhouse,4,2,2,2.98,61,53,156,Moderate,7,-4.309421,47.770575,306.56
150,Denver,Beachside,Shared room,Apartment,5,3,3,3.68,2,79,222,Flexible,9,34.063924,130.636542,355.89
151,San Francisco,City Center,Private room,Villa,3,1,5,3.68,429,61,189,Strict,8,19.387765,-151.251687,489.95
152,Seattle,City Center,Hotel room,Townhouse,4,1,6,3.45,67,84,51,Flexible,6,6.864672,100.074393,378.78
153,Austin,Uptown,Private room,House,5,3,9,3.79,24,62,87,Moderate,3,-5.612588,-2.509522,482.25
154,Boston,Harbor Area,Private room,House,1,1,4,3.53,178,80,312,Moderate,3,-37.122863,23.0857,310.24
155,Denver,Midtown,Private room,Apartment,4,2,7,3.0,140,87,338,Flexible,8,-40.077583,55.41529,365.52
156,Miami,Midtown,Shared room,Loft,1,1,6,3.53,230,92,65,Strict,3,0.041666,152.144334,451.02
157,New York,Uptown,Entire home/apt,Villa,2,3,2,2.68,299,72,149,Flexible,5,-61.091434,-159.580817,370.82
158,San Francisco,Old Town,Entire home/apt,Condo,4,3,8,3.94,162,53,19,Flexible,4,-28.676624,-169.388513,576.3
159,Atlanta,Midtown,Private room,Apartment,1,2,7,4.63,310,65,32,Flexible,4,-31.683731,-115.825759,282.09
160,Boston,Suburb,Entire home/apt,Loft,3,3,7,4.31,470,56,327,Strict,5,15.683904,175.121181,530.44
161,Austin,Downtown,Entire home/apt,Condo,3,2,8,3.4,392,71,280,Moderate,6,-77.997186,77.427492,381.77
162,Boston,City Center,Private room,House,2,1,1,2.72,129,78,45,Strict,6,59.340362,41.270803,231.5
163,Denver,City Center,Private room,House,4,1,1,3.01,444,60,72,Moderate,9,11.228108,-163.065941,275.19
164,Chicago,Suburb,Hotel room,Condo,4,2,8,3.86,245,82,353,Moderate,4,30.748803,136.479681,434.2
165,New York,Harbor Area,Entire home/apt,Apartment,4,2,4,3.02,296,78,312,Moderate,8,36.556903,112.592467,420.93
166,New York,Midtown,Shared room,House,2,3,5,3.86,171,88,342,Strict,4,-37.532855,59.328016,454.32
167,Atlanta,City Center,Private room,Villa,4,1,8,3.08,63,61,132,Flexible,9,-5.333118,-57.912906,344.29
168,Chicago,Beachside,Hotel room,Cottage,3,2,5,4.62,30,56,54,Flexible,4,82.124272,-154.618216,400.6
169,Seattle,Harbor Area,Shared room,Townhouse,1,1,4,3.49,491,88,60,Flexible,2,48.006943,28.813856,265.65
170,Los Angeles,Downtown,Entire home/apt,Condo,3,2,6,3.11,46,91,344,Flexible,9,84.520238,79.090046,363.32
171,San Francisco,Downtown,Hotel room,Condo,3,1,5,4.53,129,97,7,Flexible,5,44.325782,-146.073474,538.31
172,New York,City Center,Private room,House,1,3,7,3.36,351,75,271,Strict,4,-58.391975,48.156358,451.04
173,Miami,Uptown,Shared room,Apartment,3,1,7,2.78,465,89,245,Strict,8,-78.383541,-76.908216,436.96
174,New York,Harbor Area,Private room,Villa,2,1,4,3.93,332,58,175,Strict,3,13.979059,95.12792,435.14
175,Boston,City Center,Entire home/apt,Apartment,1,1,5,3.95,109,90,115,Strict,6,-25.59361,14.261706,325.8
176,New York,Uptown,Shared room,Loft,3,1,3,4.29,68,83,316,Strict,6,-40.417576,-133.546756,435.43
177,New York,City Center,Entire home/apt,Loft,5,1,4,3.1,57,94,270,Strict,10,55.297979,9.547001,457.05
178,Los Angeles,Beachside,Entire home/apt,Cottage,3,3,4,3.61,105,62,192,Strict,10,-23.941212,-37.534729,406.7
179,Los Angeles,Harbor Area,Hotel room,House,2,2,3,3.21,299,85,149,Flexible,5,-32.939825,-115.071851,368.07
180,Austin,Old Town,Private room,House,4,1,5,2.7,329,74,130,Moderate,6,62.997767,122.945661,353.89
181,Seattle,Downtown,Shared room,House,3,3,5,4.69,255,73,101,Strict,7,62.331721,-176.029759,417.44
182,Miami,City Center,Entire home/apt,Cottage,4,1,7,4.32,311,93,309,Moderate,3,-25.854005,-67.63382,555.56
183,New York,Beachside,Entire home/apt,Loft,5,1,4,3.25,170,66,269,Strict,2,59.849766,-175.465786,478.53
184,New York,Uptown,Shared room,Apartment,3,2,4,4.0,382,51,291,Strict,9,63.140128,-145.437499,504.94
185,San Francisco,Uptown,Entire home/apt,Cottage,1,1,9,3.0,472,62,209,Flexible,3,-13.692504,-73.045361,410.22
186,Los Angeles,Downtown,Hotel room,Cottage,4,3,6,4.73,161,80,360,Moderate,5,-78.034837,-160.462373,516.38
187,Miami,Suburb,Hotel room,Apartment,5,3,4,2.79,484,78,337,Flexible,7,-89.714764,34.786992,505.89
188,Atlanta,City Center,Hotel room,House,1,2,2,2.51,285,99,66,Flexible,6,4.192643,-148.729353,165.79
189,Austin,Harbor Area,Hotel room,Villa,1,1,6,3.76,70,77,9,Moderate,10,-28.066411,72.616908,309.68
190,Seattle,Midtown,Entire home/apt,Apartment,1,3,2,3.96,254,76,48,Flexible,8,89.483741,-161.048839,296.1
191,Chicago,Uptown,Shared room,Loft,1,1,5,3.95,453,64,110,Strict,10,49.03398,-158.648798,276.02
192,Seattle,Harbor Area,Shared room,Condo,3,1,6,2.64,373,80,320,Strict,8,47.029582,-70.082676,357.54
193,Boston,Harbor Area,Shared room,Condo,3,1,4,3.29,54,89,218,Strict,6,81.943698,142.765749,378.33
194,New York,Old Town,Shared room,Townhouse,3,2,3,3.75,322,64,56,Strict,10,69.790392,50.90157,437.14
195,Austin,Harbor Area,Private room,Townhouse,5,1,7,3.04,396,82,282,Strict,5,-32.726254,97.247265,428.21
196,Boston,Harbor Area,Shared room,Cottage,5,3,2,4.68,2,69,112,Flexible,7,-60.1223,-129.041241,514.97
197,Miami,Old Town,Private room,Condo,5,1,6,2.72,25,91,132,Flexible,5,44.260608,120.285156,476.53
198,Chicago,Uptown,Private room,Villa,2,3,4,3.72,312,61,70,Strict,2,-21.910699,-177.067351,314.06
199,Los Angeles,Harbor Area,Hotel room,House,5,1,6,4.23,125,86,82,Strict,7,-4.828923,-103.299354,545.14
200,Austin,Suburb,Private room,Loft,3,3,4,3.15,407,58,56,Flexible,9,23.471592,41.793236,374.19
201,Austin,Suburb,Entire home/apt,Townhouse,3,3,4,4.06,52,72,348,Moderate,10,73.417082,-44.911293,368.17
202,New York,Beachside,Private room,Villa,2,1,4,4.57,197,57,270,Flexible,4,-14.564204,174.309621,464.27
203,Denver,Old Town,Hotel room,Loft,2,1,9,2.98,298,81,110,Flexible,6,50.99704,-169.077871,330.13
204,Austin,Beachside,Private room,Loft,5,3,7,4.79,187,97,356,Flexible,9,-41.698838,179.49534,521.95
205,San Francisco,Old Town,Entire home/apt,House,4,2,3,3.88,185,63,75,Flexible,6,35.634922,44.50602,518.7
206,Chicago,City Center,Entire home/apt,Cottage,2,1,3,3.25,304,76,157,Flexible,9,-89.715704,21.134518,211.47
207,Chicago,City Center,Entire home/apt,Condo,1,2,6,3.58,297,74,19,Moderate,2,66.871298,-158.575521,286.04
208,San Francisco,Harbor Area,Hotel room,House,3,1,6,3.28,203,62,130,Strict,2,-84.531676,-81.601604,513.14
209,Atlanta,Midtown,Hotel room,Villa,1,1,4,4.31,496,70,328,Strict,5,38.295676,152.878568,224.51
210,San Francisco,City Center,Shared room,Cottage,3,1,9,4.49,483,94,121,Moderate,7,-81.673526,-52.471439,595.56
211,San Francisco,Midtown,Hotel room,Villa,3,1,4,4.58,449,80,40,Strict,2,-42.075774,58.195152,475.62
212,Chicago,City Center,Entire home/apt,Cottage,2,2,9,4.96,10,86,166,Strict,8,-0.503567,179.818686,425.38
213,Seattle,Downtown,Entire home/apt,Townhouse,2,1,4,4.48,358,97,129,Strict,9,-14.411037,-85.294903,381.86
214,Chicago,City Center,Hotel room,Villa,1,3,2,4.0,353,92,22,Moderate,10,-55.469499,27.389116,302.39
215,Denver,Beachside,Private room,House,3,3,2,3.35,473,54,278,Moderate,6,-29.913316,70.717605,265.64
216,New York,Uptown,Hotel room,Cottage,1,2,5,3.86,145,62,250,Strict,7,40.987147,-120.734191,422.7
217,Boston,Harbor Area,Hotel room,Cottage,4,1,4,2.6,84,77,8,Strict,8,30.466277,-126.477877,430.77
218,Seattle,Beachside,Entire home/apt,Loft,1,3,7,4.36,99,92,12,Strict,5,-77.073375,-15.729152,447.25
219,Los Angeles,Uptown,Shared room,Loft,5,2,5,3.61,103,74,306,Flexible,9,44.516849,-41.107492,495.23
220,Boston,Suburb,Entire home/apt,Apartment,1,1,6,2.55,435,84,319,Flexible,10,-80.451741,77.117557,253.65
221,New York,Beachside,Shared room,Villa,5,3,4,2.66,45,96,51,Flexible,10,7.72675,-154.976842,515.0
222,Denver,Suburb,Entire home/apt,Loft,5,3,2,3.47,43,88,208,Moderate,10,-43.188705,169.979985,388.17
223,Denver,Midtown,Hotel room,Apartment,5,2,9,3.96,277,56,37,Strict,8,15.784223,-174.860287,457.17
224,Los Angeles,Midtown,Entire home/apt,Townhouse,4,1,7,3.66,180,87,99,Moderate,5,-42.960889,36.474057,487.09
225,Seattle,Downtown,Entire home/apt,Townhouse,1,1,4,4.05,186,81,192,Moderate,9,87.292435,22.547735,299.95
226,Atlanta,City Center,Entire home/apt,Loft,1,3,3,3.7,477,52,190,Moderate,2,-34.248927,-131.502337,246.12
227,San Francisco,Beachside,Hotel room,Villa,4,3,3,4.15,113,94,50,Strict,4,-46.447086,-125.670246,595.88
228,Seattle,Suburb,Hotel room,Cottage,3,3,9,3.05,490,88,140,Flexible,7,-39.876248,105.363896,493.29
229,Atlanta,Uptown,Hotel room,Condo,2,1,5,2.78,254,86,167,Strict,3,71.365114,139.522485,241.29
230,Denver,Midtown,Hotel room,Villa,1,2,3,3.99,380,99,310,Strict,2,24.519389,-78.113892,284.1
231,Chicago,City Center,Shared room,House,2,2,5,3.71,379,71,108,Moderate,8,41.523138,-22.332973,323.28
232,New York,Midtown,Shared room,Townhouse,4,1,2,2.57,29,57,206,Moderate,3,75.241892,-52.201785,383.21
